 time            i(Vmeas)        v(Vout)        
 2.81012694e-07  1.00000000e-05 -1.02823878e-02 
 2.82012694e-07  1.00000000e-05  1.02377651e-02 
 2.83012694e-07  1.00000000e-05 -1.00731801e-02 
 2.84012694e-07  1.00000000e-05  1.00277508e-02 
 2.85012694e-07  1.00000000e-05 -9.86953030e-03 
 2.86012694e-07  1.00000000e-05  9.82352715e-03 
 2.87012694e-07  1.00000000e-05 -9.67098958e-03 
 2.88012694e-07  1.00000000e-05  9.62459040e-03 
 2.89012694e-07  1.00000000e-05 -9.47720056e-03 
 2.90012694e-07  1.00000000e-05  9.43054538e-03 
 2.91012694e-07  1.00000000e-05 -9.28793562e-03 
 2.92012694e-07  1.00000000e-05  9.23405395e-03 
 2.92863800e-07  1.00000000e-05 -9.05912395e-03 
 2.93558437e-07  1.00000000e-05  1.35570422e-01 
 2.94116668e-07  1.00000000e-05  1.71814816e+00 
 2.94664706e-07  1.00000000e-05  1.86732476e+00 
 2.95221712e-07  1.00000000e-05  1.73375686e+00 
 2.95873195e-07  1.00000000e-05  1.85668317e+00 
 2.96494441e-07  1.00000000e-05  1.74477367e+00 
 2.96967088e-07  1.00000000e-05  5.18375580e-02 
 2.97308815e-07  1.00000000e-05 -2.67379679e-02 
 2.97633575e-07  1.00000000e-05  2.68344287e-02 
 2.97763304e-07  1.00000000e-05 -2.15778321e-02 
 2.97946367e-07  1.00000000e-05  2.04591744e-02 
 2.98133842e-07  1.00000000e-05 -1.89068428e-02 
 2.98484759e-07  1.00000000e-05  1.85588177e-02 
 2.98962689e-07  1.00000000e-05 -1.79333971e-02 
 2.99724673e-07  1.00000000e-05  1.78817751e-02 
 3.00724673e-07  1.00000000e-05 -1.75059557e-02 
 3.01724673e-07  1.00000000e-05  1.75046774e-02 
 3.02724673e-07  1.00000000e-05 -1.71476147e-02 
 3.03724673e-07  1.00000000e-05  1.71397737e-02 
 3.04724673e-07  1.00000000e-05 -1.67990233e-02 
 3.05724673e-07  1.00000000e-05  1.67858120e-02 
 3.06724673e-07  1.00000000e-05 -1.64593795e-02 
 3.07724673e-07  1.00000000e-05  1.64416988e-02 
 3.08724673e-07  1.00000000e-05 -1.61280307e-02 
 3.09724673e-07  1.00000000e-05  1.61065779e-02 
 3.10724673e-07  1.00000000e-05 -1.58044507e-02 
